Delta,Theta,Alpha,Beta,Gamma,Label
14396407.366454152,5260323.138901392,3108428.4901465895,6912796.193459528,3179619.525120361,Not Stress
367077780.3071794,159958510.3469756,81151769.34413157,135959777.3314046,59918356.815103866,Stress
14396407.366454152,5260323.138901392,3108428.4901465895,6912796.193459528,3179619.525120361,Not Stress
367077780.3071794,159958510.3469756,81151769.34413157,135959777.3314046,59918356.815103866,Stress
14396407.366454152,5260323.138901392,3108428.4901465895,6912796.193459528,3179619.525120361,Not Stress
367077780.3071794,159958510.3469756,81151769.34413157,135959777.3314046,59918356.815103866,Stress
14396407.366454152,5260323.138901392,3108428.4901465895,6912796.193459528,3179619.525120361,Not Stress
367077780.3071794,159958510.3469756,81151769.34413157,135959777.3314046,59918356.815103866,Stress
14396407.366454152,5260323.138901392,3108428.4901465895,6912796.193459528,3179619.525120361,Not Stress
367077780.3071794,159958510.3469756,81151769.34413157,135959777.3314046,59918356.815103866,Stress
14396407.366454152,5260323.138901392,3108428.4901465895,6912796.193459528,3179619.525120361,Not Stress
367077780.3071794,159958510.3469756,81151769.34413157,135959777.3314046,59918356.815103866,Stress
14396407.366454152,5260323.138901392,3108428.4901465895,6912796.193459528,3179619.525120361,Not Stress
367077780.3071794,159958510.3469756,81151769.34413157,135959777.3314046,59918356.815103866,Stress
14396407.366454152,5260323.138901392,3108428.4901465895,6912796.193459528,3179619.525120361,Not Stress
367077780.3071794,159958510.3469756,81151769.34413157,135959777.3314046,59918356.815103866,Stress
14396407.366454152,5260323.138901392,3108428.4901465895,6912796.193459528,3179619.525120361,Not Stress
367077780.3071794,159958510.3469756,81151769.34413157,135959777.3314046,59918356.815103866,Stress
